,id,trait,sample_size,nsnp,year,consortium,author,note,group_name,mr,sex,pmid,priority,population,unit,build,category,subcategory,ontology,ncase,ncontrol,sd
21637,ukb-b-15787,Transport type for commuting to job workplace: Cycle,245364,9851867,2018,MRC-IEU,Ben Elsworth,6143#4: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,19179,226185,NA
21647,ukb-a-327,Type of tobacco previously smoked: Cigars or pipes,82755,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,3887,78868,NA
21659,ukb-b-12864,Leg pain when walking normally,32561,9851867,2018,MRC-IEU,Ben Elsworth,5485: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,18474,14087,NA
21666,ukb-b-10806,Gas or solid-fuel cooking/heating: A gas fire that you use regularly in winter time,461398,9851867,2018,MRC-IEU,Ben Elsworth,6139#2: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,185577,275821,NA
21674,bbj-a-113,Endometrial cancer,90730,8876119,2019,NA,Ishigaki K,NA,public,1,Males and Females,NA,0,East Asian,NA,HG19/GRCh37,Binary,NA,NA,999,89731,NA
21678,ukb-b-2094,Weight change compared with 1 year ago,455085,9851867,2018,MRC-IEU,Ben Elsworth,2306: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Categorical Ordered,NA,NA,NA,NA,NA
21681,ukb-b-4944,Operative procedures - main OPCS: W85.2 Endoscopic irrigation of knee joint,463010,9851867,2018,MRC-IEU,Ben Elsworth,41200#W852: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1976,461034,NA
21690,ukb-b-12703,Operative procedures - main OPCS: M76.4 Endoscopic dilation of urethra,463010,9851867,2018,MRC-IEU,Ben Elsworth,41200#M764: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1054,461956,NA
21700,ukb-b-16451,Illnesses of mother: Diabetes,423892,9851867,2018,MRC-IEU,Ben Elsworth,20110#9: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,40091,383801,NA
21706,ukb-b-15026,"Diagnoses - secondary ICD10: M13.99 Arthritis, unspecified (Site unspecified)",463010,9851867,2018,MRC-IEU,Ben Elsworth,41204#M1399: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,2785,460225,NA
21707,ukb-d-1418_3,Milk type used: Skimmed,360806,13586587,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,74087,286719,NA
21723,ebi-a-GCST005920,Paternal history of Alzheimer's disease,260279,7776415,2018,NA,Marioni RE,NA,public,1,NA,29777097,0,European,logOR,HG19/GRCh37,NA,NA,NA,14338,245941,NA
21737,ukb-b-17289,Sources of admission to hospital (recoded): Usual Place of residence: Living with relatives,461393,9851867,2018,MRC-IEU,Ben Elsworth,41251#1001: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,11879,449514,NA
21743,ukb-b-13114,External causes: X59.9 Unspecified place,463010,9851867,2018,MRC-IEU,Ben Elsworth,41201#X599: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,2537,460473,NA
21756,ukb-b-19657,Forced expiratory volume in 1-second (FEV1),421986,9851867,2018,MRC-IEU,Ben Elsworth,3063: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Continuous,NA,NA,NA,NA,NA
21778,ukb-d-22640_9,Mixture of day and night shifts worked: This type of shift pattern was not worked during job,25697,13031557,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,8764,16933,NA
21786,ukb-b-18202,PCT where patients GP was registered: OXFORDSHIRE PCT,463010,9851867,2018,MRC-IEU,Ben Elsworth,41230#5QE: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,6214,456796,NA
21794,ukb-b-19202,Type of fat/oil used in cooking: Normal fat butter,64949,9851867,2018,MRC-IEU,Ben Elsworth,20090#362: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,4742,60207,NA
21801,ukb-b-5239,Average weekly red wine intake,327026,9851867,2018,MRC-IEU,Ben Elsworth,1568: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Categorical Ordered,NA,NA,NA,NA,NA
21802,met-c-927,Total cholesterol in small VLDL,21557,11856411,2016,NA,Kettunen,S.VLDL.C. SD value comes from the original untransformed distribution of the ERF cohort,public,1,Males and Females,27005778,1,European,SD,HG19/GRCh37,Metabolites,Lipid,NA,NA,NA,0.41
21818,ukb-b-16426,"Non-cancer illness code, self-reported: breast cysts",462933,9851867,2018,MRC-IEU,Ben Elsworth,20002#1367: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1788,461145,NA
21830,ukb-b-16565,How are people in household related to participant: Mother and/or father,459600,9851867,2018,MRC-IEU,Ben Elsworth,6141#4: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,8348,451252,NA
21832,ukb-b-6266,Operation code: cataract extraction/lens implant,462933,9851867,2018,MRC-IEU,Ben Elsworth,20004#1435: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,4957,457976,NA
21835,ukb-b-10753,Diabetes diagnosed by doctor,461578,9851867,2018,MRC-IEU,Ben Elsworth,2443: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,22340,439238,NA
21841,ukb-b-4310,Type of bread roll eaten: wholemeal,64949,9851867,2018,MRC-IEU,Ben Elsworth,20094#3: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1997,62952,NA
21850,ukb-b-13500,Operative procedures - secondary OPCS: Z27.4 Duodenum,463010,9851867,2018,MRC-IEU,Ben Elsworth,41210#Z274: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,21838,441172,NA
21869,ukb-b-13743,PCT where patients GP was registered: NOT KNOWN,463010,9851867,2018,MRC-IEU,Ben Elsworth,41230#59999: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,19076,443934,NA
21880,ieu-a-785,Body mass index,152893,2477659,2015,GIANT,Locke AE,NA,public,1,Males,25673413,2,European,SD (kg/m^2),HG19/GRCh37,Risk factor,Anthropometric,NA,NA,NA,4.77
21882,ukb-b-7043,Mineral and other dietary supplements: Calcium,461384,9851867,2018,MRC-IEU,Ben Elsworth,6179#3: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,31393,429991,NA
21884,met-d-SFA,Saturated fatty acids,115078,12321875,2020,NA,Borges CM,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Continuous,NA,NA,NA,NA,NA
21909,ukb-b-3778,PCT responsible for patient data: SUNDERLAND TEACHING PCT,463010,9851867,2018,MRC-IEU,Ben Elsworth,41229#5KL: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,2757,460253,NA
21921,ukb-b-19546,Operative procedures - secondary OPCS: W85.2 Endoscopic irrigation of knee joint,463010,9851867,2018,MRC-IEU,Ben Elsworth,41210#W852: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1307,461703,NA
21929,ukb-b-4462,Exposure to tobacco smoke at home,417693,9851867,2018,MRC-IEU,Ben Elsworth,1269: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Categorical Ordered,NA,NA,NA,NA,NA
21931,met-d-ApoB,Apolipoprotein B,115075,12321875,2020,NA,Borges CM,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Continuous,NA,NA,NA,NA,NA
21933,ukb-b-6354,Operation code: endoscopy / gastroscopy,462933,9851867,2018,MRC-IEU,Ben Elsworth,20004#1517: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,9236,453697,NA
21937,met-d-S_HDL_L,Total lipids in small HDL,115078,12321875,2020,NA,Borges CM,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Continuous,NA,NA,NA,NA,NA
21940,ukb-a-414,Illness  injury  bereavement  stress in last 2 years: None of the above,335219,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,189518,145701,NA
21945,ukb-b-3454,Operative procedures - secondary OPCS: C71.2 Phacoemulsification of lens,463010,9851867,2018,MRC-IEU,Ben Elsworth,41210#C712: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,11848,451162,NA
21948,ukb-b-3841,Symbol digit completion status,114724,9851867,2018,MRC-IEU,Ben Elsworth,20245: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Categorical Ordered,NA,NA,NA,NA,NA
21951,ukb-b-868,Operative procedures - secondary OPCS: Z49.1 Skin of breast,463010,9851867,2018,MRC-IEU,Ben Elsworth,41210#Z491: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1322,461688,NA
21954,ukb-a-555,Diagnoses - main ICD10: K57 Diverticular disease of intestine,337199,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,6865,330334,NA
21957,ukb-b-956,Illnesses of father: Parkinson's disease,399089,9851867,2018,MRC-IEU,Ben Elsworth,20107#11: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,10106,388983,NA
21958,ukb-b-14690,White rice intake,64949,9851867,2018,MRC-IEU,Ben Elsworth,102730: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Categorical Ordered,NA,NA,NA,NA,NA
21969,ukb-b-11388,PCT where patients GP was registered: LEEDS PCT,463010,9851867,2018,MRC-IEU,Ben Elsworth,41230#5N1: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,9201,453809,NA
22000,ebi-a-GCST006906,Stroke,446696,8211693,2018,NA,Malik R,NA,public,1,NA,29531354,0,European,logOR,HG19/GRCh37,NA,NA,NA,40585,406111,NA
22016,ukb-a-109,Non-cancer illness code  self-reported: hiatus hernia,337159,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,7865,329294,NA
22022,ukb-b-13673,Operative procedures - secondary OPCS: Y82.1 Local anaesthetic nerve block,463010,9851867,2018,MRC-IEU,Ben Elsworth,41210#Y821: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,2034,460976,NA
22038,ukb-d-22617_4216,Job SOC coding: Receptionists,91149,9861189,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,1407,89742,NA
22042,ebi-a-GCST007236,Breast cancer,89677,13742658,2015,NA,Michailidou K,beta+se converted from OR+CI; ,public,1,NA,25751625,0,European,logOR,HG19/GRCh37,NA,NA,NA,46785,42892,NA
22058,bbj-a-17,Diastolic blood pressure,136615,6108953,2019,NA,Ishigaki K,NA,public,1,Males and Females,29403010,0,East Asian,NA,HG19/GRCh37,Continuous,NA,NA,NA,NA,NA
22061,met-d-Omega_3,Omega-3 fatty acids,115078,12321875,2020,NA,Borges CM,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Continuous,NA,NA,NA,NA,NA
22084,ukb-a-513,Usual walking pace,335349,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,NA,NA,NA
22086,ukb-d-2664_4,Reason for reducing amount of alcohol drunk: Financial reasons,134033,12649485,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,7054,126979,NA
22101,ukb-a-592,Diagnoses - main ICD10: S76 Injury of muscle and tendon at hip and thigh level,337199,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,154,337045,NA
22111,ukb-a-50,Nervous feelings,328725,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,77767,250958,NA
22115,ukb-b-16319,Diagnoses - secondary ICD10: E86 Volume depletion,463010,9851867,2018,MRC-IEU,Ben Elsworth,41204#E86: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1149,461861,NA
22120,ukb-b-16892,Treatment/medication code: evening primrose oil,462933,9851867,2018,MRC-IEU,Ben Elsworth,20003#1140916682: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,7307,455626,NA
22127,ukb-b-20155,Operative procedures - secondary OPCS: Z89.5 Thumb NEC,463010,9851867,2018,MRC-IEU,Ben Elsworth,41210#Z895: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1020,461990,NA
22136,ukb-b-20187,Operative procedures - secondary OPCS: Y53.2 Approach to organ under ultrasonic control,463010,9851867,2018,MRC-IEU,Ben Elsworth,41210#Y532: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,8745,454265,NA
22160,ebi-a-GCST004630,Mean corpuscular hemoglobin,172332,29166133,2016,NA,Astle WJ,NA,public,1,NA,27863252,0,European,NA,HG19/GRCh37,NA,NA,NA,NA,NA,NA
22170,ukb-a-314,Reason for reducing amount of alcohol drunk: Health precaution,124798,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,40728,84070,NA
22181,ukb-a-134,Treatment/medication code: hydroxocobalamin product,337159,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,84,337075,NA
22187,ebi-a-GCST005842,Ischemic stroke (cardioembolic),211763,7954834,2018,NA,Malik R,NA,public,1,NA,29531354,0,European,logOR,HG19/GRCh37,NA,NA,NA,7193,406111,NA
22189,ukb-b-11598,Pulse wave reflection index,151546,9851867,2018,MRC-IEU,Ben Elsworth,4195: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Continuous,NA,NA,NA,NA,NA
22201,bbj-a-40,Mean corpuscular volume,108256,6108953,2019,NA,Ishigaki K,NA,public,1,Males and Females,29403010,0,East Asian,NA,HG19/GRCh37,Continuous,NA,NA,NA,NA,NA
22207,ukb-b-1209,Number of live births,250782,9851867,2018,MRC-IEU,Ben Elsworth,2734: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Categorical Ordered,NA,NA,NA,NA,NA
22249,ukb-a-401,Qualifications: CSEs or equivalent,334070,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,44362,289708,NA
22268,ebi-a-GCST004601,Red blood cell count,172952,29169606,2016,NA,Astle WJ,NA,public,1,NA,27863252,0,European,NA,HG19/GRCh37,NA,NA,NA,NA,NA,NA
22285,ebi-a-GCST004629,Neutrophil count,170702,29164935,2016,NA,Astle WJ,NA,public,1,NA,27863252,0,European,NA,HG19/GRCh37,NA,NA,NA,NA,NA,NA
22298,ukb-b-10713,Treatment/medication code: loratadine,462933,9851867,2018,MRC-IEU,Ben Elsworth,20003#1140862772: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,3296,459637,NA
22299,ukb-d-I9_ARTOTH,Other diseases of arteries and capillaries,361194,9426753,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,1083,360111,NA
22318,ukb-d-L72,Diagnoses - main ICD10: L72 Follicular cysts of skin and subcutaneous tissue,361194,12569642,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,6644,354550,NA
22326,ebi-a-GCST005898,Type 2 diabetes,20979,417240,2018,NA,Bon<c3><a0>s-Guarch S,NA,public,1,NA,29358691,0,European,logOR,HG19/GRCh37,NA,NA,NA,5277,15702,NA
22328,ukb-d-20526,Been in serious accident believed to be life-threatening,117922,13471714,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,11325,106597,NA
22330,met-d-M_VLDL_PL,Phospholipids in medium VLDL,115078,12321875,2020,NA,Borges CM,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Continuous,NA,NA,NA,NA,NA
22331,met-d-S_LDL_TG,Triglycerides in small LDL,115078,12321875,2020,NA,Borges CM,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Continuous,NA,NA,NA,NA,NA
22340,ukb-a-257,Hearing difficulty/problems: Yes,323978,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,84839,239139,NA
22351,ukb-b-12879,Operative procedures - main OPCS: L84.1 Combined operations on primary long saphenous vein,463010,9851867,2018,MRC-IEU,Ben Elsworth,41200#L841: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1097,461913,NA
22359,ukb-a-115,Non-cancer illness code  self-reported: vitiligo,337159,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,95,337064,NA
22365,ukb-b-6077,"Diagnoses - secondary ICD10: N39.0 Urinary tract infection, site not specified",463010,9851867,2018,MRC-IEU,Ben Elsworth,41204#N390: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,4180,458830,NA
22366,ukb-b-13391,"Diagnoses - main ICD10: G45.9 Transient cerebral ischaemic attack, unspecified",463010,9851867,2018,MRC-IEU,Ben Elsworth,41202#G459: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1364,461646,NA
22403,ukb-d-D23,Diagnoses - main ICD10: D23 Other benign neoplasms of skin,361194,11266715,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,3085,358109,NA
22405,ukb-b-12252,How are people in household related to participant: Grandchild,459600,9851867,2018,MRC-IEU,Ben Elsworth,6141#6: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,3795,455805,NA
22407,ukb-b-12176,PCT where patients GP was registered: KNOWSLEY PCT,463010,9851867,2018,MRC-IEU,Ben Elsworth,41230#5J4: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1492,461518,NA
22410,ukb-a-85,Non-cancer illness code  self-reported: back problem,337159,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,5901,331258,NA
22414,met-d-M_LDL_FC,Free cholesterol in medium LDL,115078,12321875,2020,NA,Borges CM,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Continuous,NA,NA,NA,NA,NA
22428,ukb-a-417,Illness  injury  bereavement  stress in last 2 years: Marital separation/divorce,335219,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,9980,325239,NA
22455,ukb-b-16917,Diagnoses - main ICD10: S09.9 Unspecified injury of head,463010,9851867,2018,MRC-IEU,Ben Elsworth,41202#S099: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1394,461616,NA
22459,ieu-a-1041,Intracranial volume,30717,7484970,2015,ENIGMA,Hibar,NA,public,1,Males and Females,25607358,1,European,mm3,HG19/GRCh37,Risk factor,Psychiatric / neurological,NA,NA,NA,NA
22465,ukb-a-583,Diagnoses - main ICD10: R11 Nausea and vomiting,337199,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,1365,335834,NA
22478,ukb-b-223,Current tobacco smoking,462434,9851867,2018,MRC-IEU,Ben Elsworth,1239: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Categorical Ordered,NA,NA,NA,NA,NA
22479,ukb-b-2024,Single crust pastry intake,64949,9851867,2018,MRC-IEU,Ben Elsworth,101980: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Categorical Ordered,NA,NA,NA,NA,NA
22486,ukb-a-31,Alcohol usually taken with meals,172454,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,116941,55513,NA
22497,ukb-b-2237,Tinned tuna intake,64940,9851867,2018,MRC-IEU,Ben Elsworth,103150: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Categorical Ordered,NA,NA,NA,NA,NA
22501,ukb-b-12181,Pain type(s) experienced in last month: Headache,461857,9851867,2018,MRC-IEU,Ben Elsworth,6159#1: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,93308,368549,NA
22504,ukb-d-M13_ARTHROSIS_OTH,Other arthrosis,361194,12098840,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,5168,356026,NA
22508,ieu-b-13,childhood absence epilepsy,30470,4979765,2018,The International League Against Epilepsy Consortium on Complex Epilepsies,Abou-Khalil B,NA,public,1,Males and Females,30531953,1,Mixed,NA,HG19/GRCh37,Binary,Psychiatric / neurological,NA,793,29677,NA
22514,ukb-a-215,Illnesses of mother: High blood pressure,308780,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,94817,216864,NA
22515,ukb-b-16878,Alcohol usually taken with meals,235645,9851867,2018,MRC-IEU,Ben Elsworth,1618: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,159104,76541,NA
22538,bbj-a-101,Chronic hepatitis C,212453,8885805,2019,NA,Ishigaki K,NA,public,1,Males and Females,NA,0,East Asian,NA,HG19/GRCh37,Binary,NA,NA,5794,206659,NA
22563,ukb-a-388,Hip circumference,336601,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,NA,NA,NA
22569,ukb-d-2654_8,Non-butter spread type details: Other low or reduced fat spread,190094,13579655,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,19035,171059,NA
22584,ukb-d-22601_35373270,"Job coding: financial controller, accounting/audit technician, trust officer",89866,9962337,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,1495,88371,NA
22592,ukb-d-22601_41123205,"Job coding: civil service administrative officer or assistant or clerk, tax collector, prison service clerk, law courts clerk",89866,11665703,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,4036,85830,NA
22598,ukb-d-M48,Diagnoses - main ICD10: M48 Other spondylopathies,361194,10484433,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,1890,359304,NA
22613,ukb-d-H7_MACULADEGEN,Degeneration of macula and posterior pole,361194,9317136,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,1013,360181,NA
22618,ukb-a-222,Illnesses of siblings: High blood pressure,259921,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,54270,208091,NA
22629,ukb-b-7421,"Diagnoses - secondary ICD10: K51.9 Ulcerative colitis, unspecified",463010,9851867,2018,MRC-IEU,Ben Elsworth,41204#K519: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1268,461742,NA
22635,ukb-a-23,Number of operations  self-reported,337159,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,NA,NA,NA
22646,ukb-b-5090,Astigmatism angle (left),99071,9851867,2018,MRC-IEU,Ben Elsworth,5089: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Continuous,NA,NA,NA,NA,NA
22658,ukb-b-11285,Sources of admission to hospital (recoded): Temporary place of residence,461380,9851867,2018,MRC-IEU,Ben Elsworth,41251#2000: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1751,459629,NA
22659,bbj-a-27,Hematocrit,108757,6108953,2019,NA,Ishigaki K,NA,public,1,Males and Females,29403010,0,East Asian,NA,HG19/GRCh37,Continuous,NA,NA,NA,NA,NA
22674,ieu-a-275,Red blood cell count,66214,2589455,2012,HaemGen,van der Harst P,Effect allele frequencies are missing,public,1,Males and Females,23222517,1,Mixed,10^12/L,HG19/GRCh37,Risk factor,Haemotological,NA,NA,NA,0.48
